reportedyear,FSA,reportedmonth,,MCI,Count of MCI
2017,M3N,January,1.00,Auto Theft,7
2017,M3N,January,1.00,Break and Enter,8
2017,M3N,January,1.00,Robbery,7
2017,M3N,January,1.00,Theft Over,1
2017,M4A,January,1.00,Assault,5
2017,M4A,January,1.00,Break and Enter,1
2017,M4A,January,1.00,Theft Over,1
2017,M4B,January,1.00,Assault,21
2017,M4B,January,1.00,Break and Enter,4
2017,M4B,January,1.00,Robbery,3
2017,M4C,January,1.00,Assault,20
2017,M4C,January,1.00,Auto Theft,1
2017,M4C,January,1.00,Break and Enter,7
2017,M4C,January,1.00,Robbery,6
2017,M4C,January,1.00,Theft Over,1
2017,M4E,January,1.00,Assault,6
2017,M4E,January,1.00,Auto Theft,1
2017,M4E,January,1.00,Break and Enter,5
2017,M4G,January,1.00,Assault,3
2017,M4G,January,1.00,Break and Enter,1
2017,M4H,January,1.00,Assault,8
2017,M4H,January,1.00,Auto Theft,3
2017,M4H,January,1.00,Break and Enter,2
2017,M4H,January,1.00,Theft Over,1
2017,M4J,January,1.00,Assault,9
2017,M4J,January,1.00,Auto Theft,1
2017,M4J,January,1.00,Break and Enter,2
2017,M4J,January,1.00,Robbery,10
2017,M4K,January,1.00,Assault,14
2017,M4K,January,1.00,Auto Theft,1
2017,M4K,January,1.00,Break and Enter,10
2017,M4K,January,1.00,Robbery,4
2017,M4L,January,1.00,Assault,16
2017,M4L,January,1.00,Break and Enter,6
2017,M4L,January,1.00,Robbery,1
2017,M4L,January,1.00,Theft Over,2
2017,M4M,January,1.00,Assault,14
2017,M4M,January,1.00,Auto Theft,1
2017,M4M,January,1.00,Break and Enter,5
2017,M4M,January,1.00,Robbery,6
2017,M4M,January,1.00,Theft Over,4
2017,M4N,January,1.00,Auto Theft,3
2017,M4N,January,1.00,Break and Enter,5
2017,M4P,January,1.00,Assault,6
2017,M4P,January,1.00,Break and Enter,2
2017,M4P,January,1.00,Robbery,1
2017,M4R,January,1.00,Assault,1
2017,M4R,January,1.00,Break and Enter,4
2017,M4R,January,1.00,Robbery,1
2017,M4S,January,1.00,Assault,1
2017,M4S,January,1.00,Auto Theft,1
2017,M4S,January,1.00,Break and Enter,2
2017,M4S,January,1.00,Theft Over,1
2017,M4V,January,1.00,Assault,3
2017,M4V,January,1.00,Break and Enter,3
2017,M4V,January,1.00,Theft Over,1
2017,M4W,January,1.00,Assault,13
2017,M4W,January,1.00,Auto Theft,2
2017,M4W,January,1.00,Break and Enter,5
2017,M4W,January,1.00,Robbery,3
2017,M4X,January,1.00,Assault,8
2017,M4X,January,1.00,Break and Enter,1
2017,M4X,January,1.00,Robbery,3
2017,M4Y,January,1.00,Assault,39
2017,M4Y,January,1.00,Auto Theft,2
2017,M4Y,January,1.00,Break and Enter,7
2017,M4Y,January,1.00,Robbery,3
2017,M4Y,January,1.00,Theft Over,5
2017,M5A,January,1.00,Assault,37
2017,M5A,January,1.00,Auto Theft,2
2017,M5A,January,1.00,Break and Enter,12
2017,M5A,January,1.00,Robbery,4
2017,M5A,January,1.00,Theft Over,1
2017,M5B,January,1.00,Assault,12
2017,M5B,January,1.00,Auto Theft,1
2017,M5B,January,1.00,Break and Enter,3
2017,M5B,January,1.00,Robbery,6
2017,M5C,January,1.00,Break and Enter,1
2017,M5E,January,1.00,Assault,3
2017,M5G,January,1.00,Assault,26
2017,M5G,January,1.00,Break and Enter,4
2017,M5G,January,1.00,Robbery,12
2017,M5G,January,1.00,Theft Over,1
2017,M5H,January,1.00,Assault,20
2017,M5H,January,1.00,Break and Enter,4
2017,M5H,January,1.00,Robbery,1
2017,M5H,January,1.00,Theft Over,2
2017,M5J,January,1.00,Assault,16
2017,M5J,January,1.00,Break and Enter,9
2017,M5M,January,1.00,Assault,7
2017,M5M,January,1.00,Break and Enter,6
2017,M5N,January,1.00,Assault,1
2017,M5N,January,1.00,Auto Theft,4
2017,M5N,January,1.00,Break and Enter,14
2017,M5N,January,1.00,Robbery,1
2017,M5N,January,1.00,Theft Over,1
2017,M5P,January,1.00,Assault,13
2017,M5P,January,1.00,Auto Theft,2
2017,M5P,January,1.00,Break and Enter,3
2017,M5R,January,1.00,Assault,25
2017,M5R,January,1.00,Auto Theft,2
2017,M5R,January,1.00,Break and Enter,20
2017,M5R,January,1.00,Robbery,5
2017,M5R,January,1.00,Theft Over,4
2017,M5S,January,1.00,Assault,18
2017,M5S,January,1.00,Auto Theft,1
2017,M5S,January,1.00,Break and Enter,9
2017,M5S,January,1.00,Robbery,3
2017,M5S,January,1.00,Theft Over,2
2017,M5T,January,1.00,Assault,27
2017,M5T,January,1.00,Break and Enter,6
2017,M5T,January,1.00,Robbery,8
2017,M5T,January,1.00,Theft Over,2
2017,M5V,January,1.00,Assault,54
2017,M5V,January,1.00,Auto Theft,3
2017,M5V,January,1.00,Break and Enter,11
2017,M5V,January,1.00,Robbery,2
2017,M5V,January,1.00,Theft Over,2
2017,M6A,January,1.00,Assault,17
2017,M6A,January,1.00,Auto Theft,2
2017,M6A,January,1.00,Break and Enter,8
2017,M6A,January,1.00,Robbery,5
2017,M6A,January,1.00,Theft Over,1
2017,M6B,January,1.00,Assault,5
2017,M6B,January,1.00,Auto Theft,3
2017,M6B,January,1.00,Break and Enter,7
2017,M6B,January,1.00,Robbery,1
2017,M6B,January,1.00,Theft Over,1
2017,M6C,January,1.00,Assault,7
2017,M6C,January,1.00,Auto Theft,3
2017,M6C,January,1.00,Break and Enter,13
2017,M6C,January,1.00,Robbery,3
2017,M6C,January,1.00,Theft Over,1
2017,M6E,January,1.00,Assault,28
2017,M6E,January,1.00,Auto Theft,3
2017,M6E,January,1.00,Break and Enter,2
2017,M6E,January,1.00,Robbery,5
2017,M6G,January,1.00,Assault,14
2017,M6G,January,1.00,Auto Theft,2
2017,M6G,January,1.00,Break and Enter,6
2017,M6G,January,1.00,Robbery,6
2017,M6H,January,1.00,Assault,20
2017,M6H,January,1.00,Auto Theft,5
2017,M6H,January,1.00,Break and Enter,7
2017,M6H,January,1.00,Robbery,12
2017,M6J,January,1.00,Assault,22
2017,M6J,January,1.00,Auto Theft,4
2017,M6J,January,1.00,Break and Enter,4
2017,M6J,January,1.00,Robbery,2
2017,M6K,January,1.00,Assault,22
2017,M6K,January,1.00,Auto Theft,5
2017,M6K,January,1.00,Break and Enter,6
2017,M6K,January,1.00,Robbery,4
2017,M6K,January,1.00,Theft Over,1
2017,M6L,January,1.00,Assault,8
2017,M6L,January,1.00,Break and Enter,2
2017,M6L,January,1.00,Theft Over,1
2017,M6M,January,1.00,Assault,21
2017,M6M,January,1.00,Auto Theft,4
2017,M6M,January,1.00,Break and Enter,4
2017,M6M,January,1.00,Robbery,1
2017,M6M,January,1.00,Theft Over,1
2017,M6N,January,1.00,Assault,19
2017,M6N,January,1.00,Auto Theft,5
2017,M6N,January,1.00,Break and Enter,3
2017,M6N,January,1.00,Robbery,8
2017,M6N,January,1.00,Theft Over,1
2017,M6P,January,1.00,Assault,14
2017,M6P,January,1.00,Auto Theft,1
2017,M6P,January,1.00,Break and Enter,8
2017,M6P,January,1.00,Robbery,4
2017,M6R,January,1.00,Assault,10
2017,M6R,January,1.00,Auto Theft,2
2017,M6R,January,1.00,Break and Enter,3
2017,M6R,January,1.00,Robbery,4
2017,M6R,January,1.00,Theft Over,3
2017,M6S,January,1.00,Assault,14
2017,M6S,January,1.00,Auto Theft,3
2017,M6S,January,1.00,Break and Enter,17
2017,M6S,January,1.00,Robbery,4
2017,M8V,January,1.00,Assault,2
2017,M8V,January,1.00,Auto Theft,1
2017,M8V,January,1.00,Break and Enter,2
2017,M8X,January,1.00,Assault,3
2017,M8X,January,1.00,Break and Enter,6
2017,M8X,January,1.00,Robbery,1
2017,M8Y,January,1.00,Assault,7
2017,M8Y,January,1.00,Auto Theft,4
2017,M8Y,January,1.00,Break and Enter,8
2017,M8Y,January,1.00,Theft Over,1
2017,M8Z,January,1.00,Assault,13
2017,M8Z,January,1.00,Auto Theft,2
2017,M8Z,January,1.00,Break and Enter,5
2017,M8Z,January,1.00,Robbery,1
2017,M9A,January,1.00,Assault,7
2017,M9A,January,1.00,Auto Theft,3
2017,M9A,January,1.00,Break and Enter,9
2017,M9A,January,1.00,Robbery,2
2017,M9A,January,1.00,Theft Over,1
2017,M9B,January,1.00,Assault,4
2017,M9B,January,1.00,Auto Theft,2
2017,M9B,January,1.00,Break and Enter,2
2017,M9B,January,1.00,Robbery,1
2017,M9C,January,1.00,Assault,9
2017,M9C,January,1.00,Auto Theft,4
2017,M9C,January,1.00,Break and Enter,4
2017,M9C,January,1.00,Robbery,2
2017,M9L,January,1.00,Assault,5
2017,M9L,January,1.00,Auto Theft,10
2017,M9L,January,1.00,Robbery,1
2017,M9M,January,1.00,Assault,18
2017,M9M,January,1.00,Auto Theft,7
2017,M9M,January,1.00,Break and Enter,1
2017,M9M,January,1.00,Robbery,4
2017,M9N,January,1.00,Assault,16
2017,M9N,January,1.00,Auto Theft,7
2017,M9N,January,1.00,Break and Enter,6
2017,M9N,January,1.00,Robbery,2
2017,M9N,January,1.00,Theft Over,1
2017,M9P,January,1.00,Auto Theft,1
2017,M9P,January,1.00,Break and Enter,5
2017,M9P,January,1.00,Robbery,1
2017,M9P,January,1.00,Theft Over,1
2017,M9R,January,1.00,Assault,13
2017,M9R,January,1.00,Auto Theft,2
2017,M9R,January,1.00,Break and Enter,5
2017,M9R,January,1.00,Robbery,1
2017,M9R,January,1.00,Theft Over,2
2017,M9V,January,1.00,Assault,36
2017,M9V,January,1.00,Auto Theft,8
2017,M9V,January,1.00,Break and Enter,7
2017,M9V,January,1.00,Robbery,11
2017,M9V,January,1.00,Theft Over,1
2017,M9W,January,1.00,Assault,27
2017,M9W,January,1.00,Auto Theft,22
2017,M9W,January,1.00,Break and Enter,4
2017,M9W,January,1.00,Robbery,12
2017,M9W,January,1.00,Theft Over,2
2017,Overall,January,1.00,Assault,1355
2017,Overall,January,1.00,Break and Enter,557
2017,Overall,January,1.00,Robbery,321
2017,Overall,January,1.00,Auto Theft,229
2017,Overall,January,1.00,Theft Over,87
2018,M1B,January,1.00,Assault,18
2018,M1B,January,1.00,Auto Theft,5
2018,M1B,January,1.00,Break and Enter,7
2018,M1B,January,1.00,Robbery,5
2018,M1B,January,1.00,Theft Over,1
2018,M1C,January,1.00,Assault,13
2018,M1C,January,1.00,Auto Theft,3
2018,M1C,January,1.00,Break and Enter,11
2018,M1C,January,1.00,Robbery,2
2018,M1C,January,1.00,Theft Over,1
2018,M1E,January,1.00,Assault,51
2018,M1E,January,1.00,Auto Theft,2
2018,M1E,January,1.00,Break and Enter,17
2018,M1E,January,1.00,Robbery,8
2018,M1E,January,1.00,Theft Over,1
2018,M1G,January,1.00,Assault,16
2018,M1G,January,1.00,Auto Theft,8
2018,M1G,January,1.00,Break and Enter,7
2018,M1G,January,1.00,Robbery,3
2018,M1H,January,1.00,Assault,23
2018,M1H,January,1.00,Break and Enter,6
2018,M1H,January,1.00,Robbery,3
2018,M1H,January,1.00,Theft Over,1
2018,M1J,January,1.00,Assault,20
2018,M1J,January,1.00,Auto Theft,1
2018,M1J,January,1.00,Break and Enter,8
2018,M1K,January,1.00,Assault,36
2018,M1K,January,1.00,Auto Theft,5
2018,M1K,January,1.00,Break and Enter,4
2018,M1K,January,1.00,Robbery,9
2018,M1K,January,1.00,Theft Over,5
2018,M1L,January,1.00,Assault,35
2018,M1L,January,1.00,Auto Theft,3
2018,M1L,January,1.00,Break and Enter,7
2018,M1L,January,1.00,Theft Over,1
2018,M1M,January,1.00,Assault,12
2018,M1M,January,1.00,Auto Theft,3
2018,M1M,January,1.00,Break and Enter,5
2018,M1M,January,1.00,Robbery,1
2018,M1M,January,1.00,Theft Over,1
2018,M1N,January,1.00,Assault,17
2018,M1N,January,1.00,Auto Theft,1
2018,M1N,January,1.00,Break and Enter,12
2018,M1N,January,1.00,Robbery,1
2018,M1P,January,1.00,Assault,37
2018,M1P,January,1.00,Auto Theft,10
2018,M1P,January,1.00,Break and Enter,7
2018,M1P,January,1.00,Robbery,10
2018,M1P,January,1.00,Theft Over,1
2018,M1R,January,1.00,Assault,11
2018,M1R,January,1.00,Auto Theft,7
2018,M1R,January,1.00,Break and Enter,11
2018,M1R,January,1.00,Robbery,3
2018,M1R,January,1.00,Theft Over,1
2018,M1S,January,1.00,Assault,13
2018,M1S,January,1.00,Auto Theft,5
2018,M1S,January,1.00,Break and Enter,23
2018,M1S,January,1.00,Robbery,4
2018,M1S,January,1.00,Theft Over,5
2018,M1T,January,1.00,Assault,12
2018,M1T,January,1.00,Auto Theft,4
2018,M1T,January,1.00,Break and Enter,2
2018,M1T,January,1.00,Robbery,2
2018,M1V,January,1.00,Assault,8
2018,M1V,January,1.00,Auto Theft,4
2018,M1V,January,1.00,Break and Enter,14
2018,M1V,January,1.00,Robbery,5
2018,M1V,January,1.00,Theft Over,2
2018,M1W,January,1.00,Assault,7
2018,M1W,January,1.00,Auto Theft,1
2018,M1W,January,1.00,Break and Enter,5
2018,M1W,January,1.00,Robbery,1
2018,M1W,January,1.00,Theft Over,3
2018,M1X,January,1.00,Assault,4
2018,M1X,January,1.00,Auto Theft,2
2018,M1X,January,1.00,Break and Enter,4
2018,M2H,January,1.00,Assault,8
2018,M2H,January,1.00,Auto Theft,1
2018,M2H,January,1.00,Break and Enter,5
2018,M2H,January,1.00,Robbery,3
2018,M2J,January,1.00,Assault,22
2018,M2J,January,1.00,Auto Theft,3
2018,M2J,January,1.00,Break and Enter,13
2018,M2J,January,1.00,Robbery,6
2018,M2K,January,1.00,Assault,3
2018,M2K,January,1.00,Break and Enter,5
2018,M2K,January,1.00,Robbery,1
2018,M2L,January,1.00,Break and Enter,3
2018,M2L,January,1.00,Robbery,1
2018,M2L,January,1.00,Theft Over,1
2018,M2M,January,1.00,Assault,13
2018,M2M,January,1.00,Auto Theft,6
2018,M2M,January,1.00,Break and Enter,7
2018,M2M,January,1.00,Robbery,1
2018,M2M,January,1.00,Theft Over,1
2018,M2N,January,1.00,Assault,33
2018,M2N,January,1.00,Auto Theft,7
2018,M2N,January,1.00,Break and Enter,15
2018,M2N,January,1.00,Robbery,14
2018,M2N,January,1.00,Theft Over,2
2018,M2P,January,1.00,Auto Theft,4
2018,M2P,January,1.00,Break and Enter,5
2018,M2R,January,1.00,Assault,18
2018,M2R,January,1.00,Auto Theft,1
2018,M2R,January,1.00,Break and Enter,5
2018,M2R,January,1.00,Robbery,2
2018,M3A,January,1.00,Assault,17
2018,M3A,January,1.00,Auto Theft,1
2018,M3A,January,1.00,Break and Enter,9
2018,M3A,January,1.00,Robbery,1
2018,M3A,January,1.00,Theft Over,1
2018,M3B,January,1.00,Assault,5
2018,M3B,January,1.00,Break and Enter,9
2018,M3C,January,1.00,Assault,17
2018,M3C,January,1.00,Auto Theft,1
2018,M3C,January,1.00,Break and Enter,3
2018,M3C,January,1.00,Robbery,6
2018,M3C,January,1.00,Theft Over,1
2018,M3H,January,1.00,Assault,16
2018,M3H,January,1.00,Auto Theft,5
2018,M3H,January,1.00,Break and Enter,8
2018,M3H,January,1.00,Theft Over,1
2018,M3J,January,1.00,Assault,29
2018,M3J,January,1.00,Auto Theft,13
2018,M3J,January,1.00,Break and Enter,12
2018,M3J,January,1.00,Robbery,3
2018,M3J,January,1.00,Theft Over,3
2018,M3K,January,1.00,Assault,4
2018,M3K,January,1.00,Break and Enter,4
2018,M3K,January,1.00,Robbery,2
2018,M3L,January,1.00,Assault,16
2018,M3L,January,1.00,Auto Theft,4
2018,M3L,January,1.00,Break and Enter,4
2018,M3L,January,1.00,Robbery,3
2018,M3L,January,1.00,Theft Over,1
2018,M3M,January,1.00,Assault,6
2018,M3M,January,1.00,Auto Theft,2
2018,M3M,January,1.00,Break and Enter,4
2018,M3M,January,1.00,Robbery,5
2018,M3N,January,1.00,Assault,32
2018,M3N,January,1.00,Auto Theft,9
2018,M3N,January,1.00,Break and Enter,4
2018,M3N,January,1.00,Robbery,6
2018,M3N,January,1.00,Theft Over,2
2018,M4A,January,1.00,Assault,7
2018,M4A,January,1.00,Auto Theft,1
2018,M4A,January,1.00,Break and Enter,5
2018,M4A,January,1.00,Robbery,2
2018,M4A,January,1.00,Theft Over,1
2018,M4B,January,1.00,Assault,17
2018,M4B,January,1.00,Auto Theft,2
2018,M4B,January,1.00,Break and Enter,6
2018,M4B,January,1.00,Robbery,2
2018,M4C,January,1.00,Assault,33
2018,M4C,January,1.00,Auto Theft,3
2018,M4C,January,1.00,Break and Enter,21
2018,M4C,January,1.00,Robbery,6
2018,M4C,January,1.00,Theft Over,3
2018,M4E,January,1.00,Assault,12
2018,M4E,January,1.00,Auto Theft,2
2018,M4E,January,1.00,Break and Enter,9
2018,M4G,January,1.00,Assault,6
2018,M4G,January,1.00,Auto Theft,2
2018,M4G,January,1.00,Break and Enter,2
2018,M4G,January,1.00,Robbery,1
2018,M4H,January,1.00,Assault,6
2018,M4H,January,1.00,Auto Theft,1
2018,M4H,January,1.00,Break and Enter,2
2018,M4J,January,1.00,Assault,28
2018,M4J,January,1.00,Auto Theft,2
2018,M4J,January,1.00,Break and Enter,3
2018,M4J,January,1.00,Robbery,5
2018,M4K,January,1.00,Assault,11
2018,M4K,January,1.00,Auto Theft,1
2018,M4K,January,1.00,Break and Enter,3
2018,M4K,January,1.00,Robbery,3
2018,M4K,January,1.00,Theft Over,1
2018,M4L,January,1.00,Assault,10
2018,M4L,January,1.00,Auto Theft,1
2018,M4L,January,1.00,Break and Enter,5
2018,M4L,January,1.00,Robbery,3
2018,M4L,January,1.00,Theft Over,1
2018,M4M,January,1.00,Assault,10
2018,M4M,January,1.00,Auto Theft,1
2018,M4M,January,1.00,Break and Enter,7
2018,M4M,January,1.00,Robbery,4
2018,M4M,January,1.00,Theft Over,1
2018,M4N,January,1.00,Auto Theft,1
2018,M4N,January,1.00,Break and Enter,4
2018,M4P,January,1.00,Assault,5
2018,M4P,January,1.00,Auto Theft,1
2018,M4P,January,1.00,Break and Enter,6
2018,M4P,January,1.00,Robbery,1
2018,M4R,January,1.00,Assault,13
2018,M4R,January,1.00,Auto Theft,1
2018,M4R,January,1.00,Break and Enter,8
2018,M4R,January,1.00,Robbery,3
2018,M4S,January,1.00,Assault,3
2018,M4S,January,1.00,Auto Theft,2
2018,M4S,January,1.00,Break and Enter,4
2018,M4S,January,1.00,Robbery,1
2018,M4T,January,1.00,Assault,1
2018,M4T,January,1.00,Break and Enter,1
2018,M4V,January,1.00,Assault,7
2018,M4V,January,1.00,Break and Enter,5
2018,M4V,January,1.00,Robbery,1
2018,M4W,January,1.00,Assault,14
2018,M4W,January,1.00,Auto Theft,2
2018,M4W,January,1.00,Break and Enter,8
2018,M4W,January,1.00,Robbery,2
2018,M4W,January,1.00,Theft Over,2
2018,M4X,January,1.00,Assault,14
2018,M4X,January,1.00,Auto Theft,3
2018,M4X,January,1.00,Break and Enter,2
2018,M4X,January,1.00,Robbery,1
2018,M4Y,January,1.00,Assault,37
2018,M4Y,January,1.00,Auto Theft,3
2018,M4Y,January,1.00,Break and Enter,3
2018,M4Y,January,1.00,Robbery,7
2018,M4Y,January,1.00,Theft Over,1
2018,M5A,January,1.00,Assault,49
2018,M5A,January,1.00,Auto Theft,2
2018,M5A,January,1.00,Break and Enter,22
2018,M5A,January,1.00,Robbery,18
2018,M5A,January,1.00,Theft Over,4
2018,M5B,January,1.00,Assault,27
2018,M5B,January,1.00,Auto Theft,3
2018,M5B,January,1.00,Break and Enter,4
2018,M5B,January,1.00,Robbery,6
2018,M5B,January,1.00,Theft Over,3
2018,M5C,January,1.00,Assault,3
2018,M5C,January,1.00,Break and Enter,3
2018,M5E,January,1.00,Assault,3
2018,M5E,January,1.00,Break and Enter,6
2018,M5E,January,1.00,Robbery,5
2018,M5G,January,1.00,Assault,31
2018,M5G,January,1.00,Break and Enter,4
2018,M5G,January,1.00,Robbery,15
2018,M5G,January,1.00,Theft Over,1
2018,M5H,January,1.00,Assault,22
2018,M5H,January,1.00,Break and Enter,2
2018,M5H,January,1.00,Robbery,2
2018,M5H,January,1.00,Theft Over,2
2018,M5J,January,1.00,Assault,16
2018,M5J,January,1.00,Auto Theft,1
2018,M5J,January,1.00,Break and Enter,1
2018,M5J,January,1.00,Robbery,1
2018,M5J,January,1.00,Theft Over,3
2018,M5M,January,1.00,Assault,7
2018,M5M,January,1.00,Break and Enter,8
2018,M5M,January,1.00,Robbery,1
2018,M5N,January,1.00,Break and Enter,2
2018,M5N,January,1.00,Robbery,1
2018,M5N,January,1.00,Theft Over,1
2018,M5P,January,1.00,Assault,4
2018,M5P,January,1.00,Auto Theft,1
2018,M5P,January,1.00,Break and Enter,4
2018,M5R,January,1.00,Assault,25
2018,M5R,January,1.00,Auto Theft,1
2018,M5R,January,1.00,Break and Enter,4
2018,M5R,January,1.00,Robbery,6
2018,M5R,January,1.00,Theft Over,6
2018,M5S,January,1.00,Assault,14
2018,M5S,January,1.00,Auto Theft,4
2018,M5S,January,1.00,Break and Enter,6
2018,M5S,January,1.00,Robbery,4
2018,M5T,January,1.00,Assault,30
2018,M5T,January,1.00,Auto Theft,1
2018,M5T,January,1.00,Break and Enter,8
2018,M5T,January,1.00,Robbery,3
2018,M5V,January,1.00,Assault,44
2018,M5V,January,1.00,Auto Theft,3
2018,M5V,January,1.00,Break and Enter,19
2018,M5V,January,1.00,Robbery,3
2018,M5V,January,1.00,Theft Over,3
2018,M6A,January,1.00,Assault,17
2018,M6A,January,1.00,Auto Theft,2
2018,M6A,January,1.00,Break and Enter,11
2018,M6A,January,1.00,Robbery,4
2018,M6A,January,1.00,Theft Over,2
2018,M6B,January,1.00,Assault,14
2018,M6B,January,1.00,Auto Theft,3
2018,M6B,January,1.00,Break and Enter,7
2018,M6B,January,1.00,Robbery,5
2018,M6C,January,1.00,Assault,9
2018,M6C,January,1.00,Auto Theft,9
2018,M6C,January,1.00,Break and Enter,5
2018,M6C,January,1.00,Robbery,3
2018,M6E,January,1.00,Assault,18
2018,M6E,January,1.00,Auto Theft,8
